DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,SYMBOL
2017-01-19, 185.55, 192.65, 179.1, 182.95, 385324, STARPAPER
2017-01-18, 179.5, 184, 178.5, 182.3, 55594, STARPAPER
2017-01-17, 181.65, 185.5, 176.5, 177.5, 120013, STARPAPER
2017-01-14, 178.45, 189.4, 176.1, 189.4, 262878, STARPAPER
2017-01-13, 188.85, 197.8, 187.25, 196.6, 249843, STARPAPER
2017-01-12, 194.2, 194.2, 176.6, 178.5, 436660, STARPAPER
2017-01-11, 177.2, 179.65, 175, 177.2, 56070, STARPAPER
2017-01-10, 176.8, 181, 174.55, 180.9, 38692, STARPAPER
2017-01-07, 178.7, 183.9, 177.05, 181, 56085, STARPAPER
2017-01-06, 181.4, 182.8, 178.05, 181, 69485, STARPAPER
